movie_name,released_year,genre,duration_min,user_rating,critics_rating,votes
Guardians of the Galaxy Vol. 2,2017,"Action, Adventure, Comedy",136,7.6,67,503817
Skin V ,2018,"Biography, Crime, Drama",118,7.1,58,7766
Fighting with My Family,2019,"Biography, Comedy, Drama",108,7.1,68,39643
The Fate of the Furious,2017,"Action, Adventure, Thriller",136,6.7,56,186126
"Three Billboards Outside Ebbing, Missouri",2017,"Crime, Drama",115,8.2,88,359861
Creed II,2018,"Drama, Sport",130,7.2,66,82079
Ralph Breaks the Internet,2018,"Animation, Adventure, Comedy",112,7.1,71,101454
Kingsman: The Golden Circle,2017,"Action, Adventure, Comedy",141,6.8,44,238980
Ocean's Eight,2018,"Action, Comedy, Crime",110,6.2,61,153187
Low Tide,2019,"Drama, Thriller",84,6.2,,367
Escape Room I ,2019,"Action, Adventure, Horror",99,6.3,48,55531
The Ballad of Buster Scruggs,2018,"Comedy, Drama, Musical",133,7.3,79,94729
The Dark Tower,2017,"Action, Adventure, Fantasy",95,5.6,34,113919
Overlord,2018,"Action, Adventure, Horror",110,6.7,60,64193
Triple Frontier,2019,"Action, Adventure, Crime",125,6.5,61,81557
Mamma Mia! Here We Go Again,2018,"Comedy, Musical, Romance",114,6.7,60,64918
Stan & Ollie,2018,"Biography, Comedy, Drama",98,7.2,75,21651
Peppermint,2018,"Action, Drama, Thriller",101,6.5,29,40438
Alien: Covenant,2017,"Horror, Sci-Fi, Thriller",122,6.4,65,232317
Unforgettable II,2017,"Drama, Thriller",100,5.1,45,11913
Capharnaüm,2018,Drama,126,8.4,75,27333
The Spy Who Dumped Me,2018,"Action, Adventure, Comedy",117,6.0,52,55167
Transformers: The Last Knight,2017,"Action, Adventure, Sci-Fi",154,5.2,27,122659
Instant Family,2018,"Comedy, Drama",118,7.3,57,55306
The Nun,2018,"Horror, Mystery, Thriller",96,5.4,46,98766
Escape Plan: The Extractors,2019,"Action, Crime, Thriller",97,4.4,,5742
Dumbo,2019,"Adventure, Family, Fantasy",112,6.3,51,45672
American Assassin,2017,"Action, Thriller",112,6.2,45,60019
Murder on the Orient Express,2017,"Crime, Drama, Mystery",114,6.5,52,183455
Holmes & Watson,2018,"Comedy, Crime, Mystery",90,3.8,24,21942
Beautiful Boy I ,2018,"Biography, Drama",120,7.3,62,35154
Downsizing,2017,"Drama, Sci-Fi",135,5.7,63,80701
Geostorm,2017,"Action, Sci-Fi, Thriller",109,5.3,21,82035
The Upside,2017,"Comedy, Drama",126,6.8,46,32125
Can You Ever Forgive Me?,2018,"Biography, Comedy, Crime",106,7.1,87,34848
Incredibles 2,2018,"Animation, Action, Adventure",118,7.7,80,215294
The Aftermath II,2019,"Drama, Romance, War",108,6.3,43,8860
You Were Never Really Here,2017,"Crime, Drama, Mystery",89,6.8,84,76382
Wind River,2017,"Crime, Drama, Mystery",107,7.7,73,175669
Ant-Man and the Wasp,2018,"Action, Adventure, Comedy",118,7.1,70,260877
American Dreamer,2018,"Crime, Thriller",92,5.3,40,109
Molly's Game,2017,"Biography, Crime, Drama",140,7.5,71,109693
xXx: Return of Xander Cage,2017,"Action, Adventure, Thriller",107,5.2,42,79506
Waves I ,2019,"Drama, Romance",135,7.9,81,196
Mile 22,2018,"Action, Adventure, Thriller",94,6.1,38,53185
Ghost in the Shell,2017,"Action, Drama, Sci-Fi",107,6.3,52,181057
UglyDolls,2019,"Animation, Adventure, Comedy",87,4.7,39,3121
The Front Runner,2018,"Biography, Drama, History",113,6.1,61,7939
Atomic Blonde,2017,"Action, Mystery, Thriller",115,6.7,63,155725
Lady Bird,2017,"Comedy, Drama",94,7.4,94,185659
Under the Silver Lake,2018,"Comedy, Crime, Drama",139,6.5,60,22040
Kong: Skull Island,2017,"Action, Adventure, Fantasy",118,6.6,62,245138
"Where'd You Go, Bernadette",2019,"Comedy, Drama, Mystery",109,6.6,51,2004
Good Time,2017,"Crime, Drama, Thriller",101,7.3,80,55686
Mid90s,2018,"Comedy, Drama",85,7.4,66,30026
Always Be My Maybe,2019,"Comedy, Romance",101,6.8,64,33801
The Girl in the Spider's Web,2018,"Action, Crime, Drama",115,6.1,43,32128
The Report I ,2019,"Drama, Thriller",119,7.1,79,474
Isn't It Romantic,2019,"Comedy, Fantasy, Romance",89,5.9,60,48358
The Last Black Man in San Francisco,2019,Drama,121,7.5,84,3904
Someone Great,2019,"Comedy, Romance",92,6.2,63,12350
Captive State,2019,"Drama, Sci-Fi, Thriller",109,6.1,54,38937
Sicario: Day of the Soldado,2018,"Action, Crime, Drama",122,7.1,61,102312
Fifty Shades Freed,2018,"Drama, Romance, Thriller",105,4.5,31,45927
The Snowman,2017,"Crime, Drama, Mystery",119,5.1,23,50196
The Highwaymen,2019,"Biography, Crime, Drama",132,6.9,58,52530
"I, Tonya",2017,"Biography, Comedy, Drama",120,7.5,77,148641
The Banana Splits Movie,2019,"Comedy, Horror, Sci-Fi",89,5.0,,1122
Destroyer,2018,"Action, Crime, Drama",121,6.2,62,17792
The Souvenir,2019,"Drama, Mystery, Romance",120,6.6,92,2781
Operation Finale,2018,"Biography, Drama, History",122,6.5,58,23023
Darkest Hour,2017,"Biography, Drama, History",125,7.4,75,141752
Truth or Dare I ,2018,"Horror, Thriller",100,5.1,35,36086
Les frères Sisters,2018,"Comedy, Crime, Drama",122,7.0,78,37621
Den of Thieves,2018,"Action, Crime, Drama",140,7.0,49,73186
Dumplin',2018,"Comedy, Drama, Musical",110,6.6,53,22277
American Made,2017,"Action, Biography, Comedy",115,7.1,65,137492
First Kill,2017,"Action, Thriller",97,4.9,39,8368
The Black String,2018,"Horror, Mystery, Thriller",93,5.2,,178
Sorry to Bother You,2018,"Comedy, Fantasy, Sci-Fi",112,7.0,80,45815
Greta,2018,"Drama, Mystery, Thriller",98,6.0,54,15370
Annabelle: Creation,2017,"Horror, Mystery, Thriller",109,6.5,62,97260
Tomb Raider,2018,"Action, Adventure, Fantasy",119,6.3,48,169467
Fifty Shades Darker,2017,"Drama, Romance",118,4.6,33,83576
The Equalizer 2,2018,"Action, Crime, Thriller",121,6.7,50,106065
Little Monsters,2019,"Comedy, Horror",94,5.9,59,400
The Hate U Give,2018,"Crime, Drama",133,7.4,81,21392
White Boy Rick,2018,"Crime, Drama",111,6.4,59,18638
Don't Let Go,2019,"Drama, Fantasy, Horror",103,5.8,51,734
Otherhood,2019,Comedy,100,6.0,38,6470
A Dog's Way Home,2019,"Adventure, Drama, Family",96,6.7,50,9493
The Disaster Artist,2017,"Biography, Comedy, Drama",104,7.4,76,116011
King Arthur: Legend of the Sword,2017,"Action, Adventure, Drama",126,6.8,41,173094
Game Night I ,2018,"Action, Comedy, Crime",100,6.9,66,170957
Tag I ,2018,Comedy,100,6.5,56,92445
12 Strong,2018,"Action, Drama, History",130,6.6,54,53105
Searching II,2018,"Drama, Mystery, Thriller",102,7.7,71,109804
Papillon I ,2017,"Adventure, Biography, Crime",133,7.1,51,37058
Replicas,2018,"Drama, Sci-Fi, Thriller",107,5.5,19,21753
Boy Erased,2018,"Biography, Drama",115,7.0,69,22158
Logan Lucky,2017,"Comedy, Crime, Drama",118,7.0,78,109594
The Old Man & the Gun,2018,"Biography, Comedy, Crime",93,6.7,80,30748
Roma,2018,Drama,135,7.8,96,113562
Phantom Thread,2017,"Drama, Romance",130,7.5,90,89320
Hostiles,2017,"Adventure, Drama, Western",134,7.2,65,56591
Driven I ,2018,"Biography, Drama, Thriller",108,6.2,58,1584
Pitch Perfect 3,2017,"Comedy, Music",93,5.8,40,47328
Nancy Drew and the Hidden Staircase,2019,"Comedy, Crime, Drama",89,5.7,55,1754
68 Kill,2017,"Comedy, Crime, Romance",93,6.0,56,3814
A Dog's Purpose,2017,"Adventure, Comedy, Drama",100,7.1,43,57271
Destination Wedding,2018,"Comedy, Drama, Romance",87,6.0,46,18270
Breakthrough I ,2019,"Biography, Drama",116,6.1,46,4448
Second Act,2018,"Comedy, Drama, Romance",103,5.8,46,15842
Her Smell,2018,"Drama, Music",134,6.3,69,2064
Miss Bala,2019,"Action, Crime, Drama",104,5.7,41,5091
The Intruder I ,2019,"Drama, Horror, Mystery",102,5.5,39,6860
Happy Death Day,2017,"Horror, Mystery, Thriller",96,6.5,58,93784
